Instrument,Segment Name,Segment Code,year,number of segments
GGBR4.SA,Unit Latin America,"331513, 331512",-4,5
GGBR4.SA,Unit Brazil,"331110, 331512",-4,5
GGBR4.SA,Eliminations,,-4,5
VALE3.SA,Others,,-4,5
VALE3.SA,Fertilizer,"212290, 212210",-4,5
VALE3.SA,Basic Metals,"212230, 212290",-4,5
VALE3.SA,Coal,212115,-4,5
VALE3.SA,Ferrous minerals,212210,-4,5
WEGE3.SA,Energy,333611,-4,4
WEGE3.SA,Eliminations,,-4,4
WEGE3.SA,Other/External Services,335312,-4,4
WEGE3.SA,Industrial,"335314, 335313, 335312, 334416",-4,4
ENAEX.SN,Explosive Products,325920,-4,2
ENAEX.SN,Chemical Products,,-4,2
GOAU4.SA,Special Steel,331110,-4,5
GOAU4.SA,North America,331110,-4,5
GOAU4.SA,Latin America,331110,-4,5
GOAU4.SA,Eliminations,,-4,5
