Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentCode,number of segments
K.N,North America,"311919, 311821, 311412, 311230",-5,,,,7.0
K.N,Latin America,"311919, 311230",-5,,,,7.0
K.N,Europe,"311919, 311230",-5,,,,7.0
K.N,U.S. Morning Foods & Kashi,"311919, 311230",-5,,,,7.0
K.N,U.S. Snacks,"311919, 311813, 311230",-5,,,,7.0
K.N,U.S. Specialty,"311919, 311230",-5,,,,7.0
KR.N,supermarkets and multi-department stores,,-5,,,,1.0
SR.N,Eliminations,,-5,,,,4.0
SR.N,Other,,-5,,,,4.0
SR.N,Gas Marketing,221210,-5,,,,4.0
SR.N,Gas Utility,221210,-5,,,,4.0
MDU.N,Electric,221122,-5,,,,7.0
MDU.N,Construction Materials and Contracting,211120,-5,,,,7.0
MDU.N,Construction Services,"331420, 211120, 237130, 221210",-5,,,,7.0
MDU.N,Other,,-5,,,,7.0
MDU.N,Natural Gas Distribution,221210,-5,,,,7.0
MDU.N,Pipeline and midstream-Regulated operations,"486210, 424710, 221210",-5,,,,7.0
MDU.N,Pipeline and midstream -non regulated operations,"486210, 424710, 221210",-5,,,,7.0
MRTN.OQ,Truckload,484121,-5,,,,4.0
MRTN.OQ,Intermodal,"484230, 484122",-5,,,,4.0
MRTN.OQ,Brokerage,484122,-5,,,,4.0
MRTN.OQ,Dedicated,484122,-5,,,,4.0
MKC.N,Corporate & other,,-5,,,,3.0
MKC.N,Consumer,"311942, 311941",-5,,,,3.0
MKC.N,Flavor Solutions,311942,-5,,,,3.0
MGRC.OQ,Enviroplex,532210,-5,,,,4.0
MGRC.OQ,TRS-RenTelco,532210,-5,,,,4.0
MGRC.OQ,Adler Tanks,532210,-5,,,,4.0
MGRC.OQ,Mobile Modular,532210,-5,,,,4.0
MRU.TO,,,-5,,,,0.0
NI.N,Electric Operations,"221122, 221121, 221112",-5,,,,4.0
NI.N,Gas Distribution Operations,221210,-5,,,,4.0
NI.N,Adjustments / Eliminations,,-5,,,,4.0
NI.N,Corporate and Other,,-5,,,,4.0
NFG.N,Exploration and Production,"211130, 211120",-5,,,,6.0
NFG.N,Pipeline and Storage,486210,-5,,,,6.0
NFG.N,Utility,"221210, 213112",-5,,,,6.0
NFG.N,Corporate and Intersegment Eliminations,,-5,,,,6.0
NFG.N,All Other,,-5,,,,6.0
NFG.N,Gathering,"211120, 486210, 213112",-5,,,,6.0
