Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
AERN.PK,28720.0,1e-06,,,,,1372.933244,,,,,,,,,133370.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,,,,United States of America,,,,FY-3
600795.SS,16444406091.8153,0.336119968973541,0.033759620061225,0.038623294137842,,3.774,6604891113.97914,19650397845.0,52416407680.3427,1369308193.35724,35475955398.9557,61.7283950617284,27462440463.4434,7496105193.52035,44402892744.8304,27462440462.2368,,2.78825257116226,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,2714909566.74657,32.81628,2113150807.75401,China,2113150807.75401,1759679930.6387,D,FY-3
IBE.MC,40846925094.7246,8.9359506804475,0.552848307112223,0.587643187105167,0.613033747505595,9.169,65470731744.5014,7130078870.51578,137175757236.06,1191556936.34963,82702753178.0374,0.0,45427766069.5469,43805158845.8176,99900770127.5699,45427766069.5469,7.5754,8.83185215615908,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,4326050100.72688,21.43281,6555969648.24355,Spain,6555969648.24355,6246022738.26856,A,FY-3
AIRP.PA,24572450283.6132,128.609380759142,5.3646275579809,5.8852824010914,6.66330150068213,12.23,66925319407.6631,518638480.23848,48950182723.1352,470778229.595357,27287514292.7606,58.4786973009146,16400914736.6769,21153734053.7632,38063583167.0515,16400914736.6769,4.9246,12.2307555895071,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,2392730911.56918,25.40194,4246406199.33159,France,4246406199.33159,2950926591.78602,A-,FY-3
LOU.V,102044509.471739,0.50053904204528,,,,,95888385.9156014,191185628.0,461133528.415216,6417062.91433271,306196673.340521,0.0,212861543.20037,149153703.988911,367798398.275065,212861543.20037,,8.04757029219501,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,35426168.2637571,23.74702,32515833.0682073,Canada,32515833.0682073,178467635.179332,,FY-3
0632.HK,22524646.9833119,0.087985894736842,,,,-7.676,54232404.4967907,616374893.03871,44014377.406932,1289129.7114661,10450962.7727856,,5080616.1745828,33433119.3838254,38644030.8087291,5080616.1745828,,-135.239374412065,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Product Wholesale,50,5010,501020,50102030,5010203013.0,701873.691420997,17.281305,-30513700.2704025,Hong Kong,-30513700.2704025,10849.1114331305,,FY-3
DPAP.PA,18820494.1371657,515.660381588682,,,,,50431585.3193731,97800.0,64617153.5546936,,11317182.7007152,90.8661270032203,,53299970.8539784,53299970.8539784,0.0,,6.35589874433479,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010.0,862225.962227874,28.34194,5003648.39249939,France,5003648.39249939,2103721.65628466,,FY-3
EDSP.PA,859512813.039482,132.278097885792,,,,28.58,948352743.08903,7169386.0,1898695155.03442,227218.213523199,1483029168.44158,73.742256,23422191.3324216,409461247.001323,439088177.925252,23422191.3324216,,14.200760890293,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,33323845.5813433,33.181478220297,81103470.6092487,France,81103470.6092487,88178575.6717124,,FY-3
ESSF.PA,16583749971.975,25.558818913526,,,,,328547831.311795,12854578.0,4396341053.29238,1678952.31667389,3357621684.64005,0.0,58628343.3849741,1038719368.65233,1097347712.03731,58628343.3849741,,2.34398782343988,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011.0,133532674.252796,25.291125,5372647.41335643,France,5372647.41335643,,D-,FY-3
HES.N,6495000000.0,66.81,-0.10974,0.12607,1.78821,-3.06,20357423560.35,304955472.0,21782000000.0,380000000.0,12076000000.0,,7397000000.0,8732000000.0,17103000000.0,7397000000.0,,-4.4880174291939,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,2122000000.0,22.05976,586000000.0,United States of America,586000000.0,2829000000.0,A-,FY-3
ENGEPEC1.LM,498005738.447599,0.691756876170341,,,,17.51,1971950562.36786,1747839131.64625,1403966173.36152,2013367.07690628,427657203.261854,62.6146137162516,33412564.180006,953300815.463606,1009721534.27967,33412564.180006,,17.5073585636922,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,54436502.3314427,29.35811,217257365.856122,Peru,217257365.856122,44344469.8619203,C-,FY-3
