Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
CTAS.OQ,8815769000.0,451.62,14.26198,15.94177,18.20583,37.59,45934818918.3,101732148.0,8546356000.0,111232000.0,4682370000.0,34.9975084671151,2486405000.0,3863986000.0,6350391000.0,2486405000.0,12.10667,37.4376166137446,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Business Support Services (NEC),52,5220,522030,52203040,5220304010,503962000.0,17.54848,1802664000.0,United States of America,1802664000.0,331109000.0,B+,FY0
CLH.N,5166605000.0,114.12,6.91455,7.44133,7.94551,22.67,6170958659.52,54064797.0,6129707000.0,112270000.0,4207385000.0,0.0,2523985000.0,1922322000.0,4446307000.0,2523985000.0,,23.9650149336085,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Environmental Services & Equipment (NEC),52,5220,522030,52203010,5220301010,347594000.0,24.64379,634747000.0,United States of America,634747000.0,347022000.0,C+,FY0
CLF.N,22989000000.0,16.11,1.74879,1.99581,0.91,19.329,8301523001.13,513340779.0,18755000000.0,276000000.0,10713000000.0,0.0,4464000000.0,7791000000.0,12506000000.0,4464000000.0,-19.485,20.0587305172803,Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,Iron & Steel (NEC),51,5120,512010,51201020,5120102010,1039000000.0,22.05976,1973000000.0,United States of America,1973000000.0,943000000.0,B+,FY0
CMC.N,8799533000.0,48.3,6.06382,5.55009,,23.679,5665186067.09999,116515427.0,6639094000.0,40127000.0,2517980000.0,8.71592072206197,1154797000.0,4120873000.0,5275911000.0,1154797000.0,,23.2145774240017,Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,Iron & Steel (NEC),51,5120,512010,51201020,5120102010,218830000.0,23.3703,1168380000.0,United States of America,1168380000.0,606665000.0,A-,FY0
CAG.N,12277000000.0,38.7,2.78336,2.89285,3.024,15.07,18445290788.7,477022783.0,22052600000.0,413500000.0,13245300000.0,92.3346986541837,9238700000.0,8736800000.0,18046000000.0,9238700000.0,7.7,7.8016491198037,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing,Food Processing (NEC),54,5410,541020,54102020,5410202010,369900000.0,26.400945636313,1899300000.0,United States of America,1899300000.0,362200000.0,B-,FY0
ED.N,14352000000.0,95.31,4.80843,5.09106,5.44021,7.96,33821978042.88,355000000.0,69065000000.0,951000000.0,48176000000.0,67.4698795180723,23838000000.0,20687000000.0,44727000000.0,23838000000.0,6.12,8.15244082113741,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,2056000000.0,17.05069,2624000000.0,United States of America,2624000000.0,4232000000.0,B,FY0
CXT.N,3374900000.0,34.88799265,8.10287,8.78458,9.58144,24.079,,56325382.0,2129400000.0,52200000.0,1345600000.0,26.3275991024682,844800000.0,783800000.0,1628600000.0,844800000.0,9.4,30.663965444746,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components & Equipment (NEC),52,5210,521020,52102030,5210203010,118900000.0,19.61595,607000000.0,United States of America,607000000.0,58400000.0,B-,FY0
VVI.N,1127311000.0,24.39,1.53,2.35,,32.89,504146080.44,20718937.0,1090346000.0,34891000.0,860915000.0,0.0,469944000.0,14530000.0,704331000.0,469944000.0,,105.112435133577,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Exhibition & Conference Services,52,5220,522030,52203040,5220304026,52483000.0,28.80705,53516000.0,United States of America,53516000.0,67170000.0,C+,FY0
D.N,17167000000.0,61.32,4.05563,4.03488,4.25932,12.339,51096435570.6,835000000.0,104243000000.0,966000000.0,76362000000.0,247.645739910314,45678000000.0,26098000000.0,73559000000.0,45678000000.0,4.46967,3.45582395443891,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,3113000000.0,14.094289065532,4085000000.0,United States of America,4085000000.0,7591000000.0,B+,FY0
DCI.N,3430800000.0,58.87,3.17233,3.48793,3.96502,30.58,7163708980.4,121114498.0,2770500000.0,19200000.0,1449800000.0,32.4414715719064,655700000.0,1320700000.0,1976400000.0,655700000.0,,29.2432454460247,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Purification & Treatment Equipment,52,5220,522030,52203010,5220301011,92300000.0,23.80064,480200000.0,United States of America,480200000.0,118500000.0,B,FY0
